id,date_network_count_total,date_network_work_period_by_network_total,date_network_days_since_last_network_appearence_total,monitor_Time_mean_total,monitor_Time_median_total,monitor_Time_sum_total,is_workday_connection_mean_total,is_workday_connection_sum_total,is_weekend_connection_mean_total,is_weekend_connection_sum_total,network_mean_by_work_period_total,date_network_count_last_50,date_network_work_period_by_network_last_50,date_network_days_since_last_network_appearence_last_50,monitor_Time_mean_last_50,monitor_Time_median_last_50,monitor_Time_sum_last_50,is_workday_connection_mean_last_50,is_workday_connection_sum_last_50,is_weekend_connection_mean_last_50,is_weekend_connection_sum_last_50,date_network_count_last_100,date_network_work_period_by_network_last_100,date_network_days_since_last_network_appearence_last_100,monitor_Time_mean_last_100,monitor_Time_median_last_100,monitor_Time_sum_last_100,is_workday_connection_mean_last_100,is_workday_connection_sum_last_100,is_weekend_connection_mean_last_100,is_weekend_connection_sum_last_100,date_network_count_last_150,date_network_work_period_by_network_last_150,date_network_days_since_last_network_appearence_last_150,monitor_Time_mean_last_150,monitor_Time_median_last_150,monitor_Time_sum_last_150,is_workday_connection_mean_last_150,is_workday_connection_sum_last_150,is_weekend_connection_mean_last_150,is_weekend_connection_sum_last_150,exists_in_network
ОРГ1-00085,134,191,0,27089.462686567163,28223.0,3629988,0.9328358208955224,125.0,0.06716417910447761,9.0,19005.17277486911,41.0,49.0,0.0,24671.731707317074,28220.0,1011541.0,0.8536585365853658,35.0,0.14634146341463414,6.0,74.0,99.0,0.0,27428.31081081081,28667.5,2029695.0,0.918918918918919,68.0,0.08108108108108109,6.0,103.0,147.0,0.0,26672.718446601943,28514.0,2747290.0,0.941747572815534,97.0,0.05825242718446602,6.0,1
ОРГ1-00086,150,192,0,28323.386666666665,32406.0,4248508,0.8333333333333334,125.0,0.16666666666666666,25.0,22127.645833333332,47.0,49.0,0.0,30755.23404255319,32713.0,1445496.0,0.7659574468085106,36.0,0.23404255319148937,11.0,85.0,99.0,0.0,28754.882352941175,33014.0,2444165.0,0.7764705882352941,66.0,0.2235294117647059,19.0,118.0,147.0,0.0,28293.92372881356,33162.5,3338683.0,0.8135593220338984,96.0,0.1864406779661017,22.0,1
ОРГ1-00089,71,113,78,23139.084507042255,22206.0,1642875,1.0,71.0,0.0,0.0,14538.716814159292,,,,,,,,,,,15.0,21.0,78.0,23465.333333333332,23103.0,351980.0,1.0,15.0,0.0,0.0,51.0,71.0,78.0,23699.333333333332,22502.0,1208666.0,1.0,51.0,0.0,0.0,1
ОРГ1-00090,123,191,0,28631.69918699187,27305.0,3521699,1.0,123.0,0.0,0.0,18438.214659685866,36.0,49.0,0.0,28049.222222222223,27605.0,1009772.0,1.0,36.0,0.0,0.0,69.0,99.0,0.0,30230.260869565216,27905.0,2085888.0,1.0,69.0,0.0,0.0,94.0,149.0,0.0,29032.17021276596,27007.0,2729024.0,1.0,94.0,0.0,0.0,1
ОРГ1-00092,117,190,1,20669.08547008547,24014.0,2418283,0.9487179487179487,111.0,0.05128205128205128,6.0,12727.805263157894,27.0,48.0,1.0,16864.11111111111,23718.0,455331.0,0.9629629629629629,26.0,0.037037037037037035,1.0,64.0,98.0,1.0,18997.59375,24017.0,1215846.0,0.921875,59.0,0.078125,5.0,99.0,147.0,1.0,20413.828282828283,24003.0,2020969.0,0.9494949494949495,94.0,0.050505050505050504,5.0,1
ОРГ1-00100,125,191,0,28723.4,29708.0,3590425,1.0,125.0,0.0,0.0,18798.03664921466,28.0,49.0,0.0,27833.035714285714,30309.0,779325.0,1.0,28.0,0.0,0.0,60.0,99.0,0.0,28112.116666666665,30004.0,1686727.0,1.0,60.0,0.0,0.0,96.0,149.0,0.0,28479.489583333332,29708.0,2734031.0,1.0,96.0,0.0,0.0,1
ОРГ1-00101,130,191,0,25992.03076923077,25528.0,3378964,0.9923076923076923,129.0,0.007692307692307693,1.0,17690.9109947644,37.0,49.0,0.0,26980.027027027027,27606.0,998261.0,0.972972972972973,36.0,0.02702702702702703,1.0,67.0,99.0,0.0,28599.805970149253,27606.0,1916187.0,0.9850746268656716,66.0,0.014925373134328358,1.0,103.0,149.0,0.0,27423.533980582524,26407.0,2824624.0,0.9902912621359223,102.0,0.009708737864077669,1.0,1
ОРГ1-00105,114,192,0,18700.28947368421,19516.5,2131833,0.9122807017543859,104.0,0.08771929824561403,10.0,11103.296875,44.0,49.0,0.0,15176.522727272728,15455.0,667767.0,0.7954545454545454,35.0,0.20454545454545456,9.0,77.0,99.0,0.0,19573.38961038961,19810.0,1507151.0,0.8831168831168831,68.0,0.11688311688311688,9.0,108.0,142.0,0.0,19650.277777777777,19809.0,2122230.0,0.9166666666666666,99.0,0.08333333333333333,9.0,1
ОРГ1-00107,150,191,1,13198.993333333334,14556.0,1979849,0.8066666666666666,121.0,0.19333333333333333,29.0,10365.701570680629,32.0,48.0,1.0,11151.34375,14108.5,356843.0,0.78125,25.0,0.21875,7.0,71.0,98.0,1.0,12642.605633802817,14704.0,897625.0,0.7887323943661971,56.0,0.2112676056338028,15.0,114.0,148.0,1.0,13067.859649122807,14706.5,1489736.0,0.8070175438596491,92.0,0.19298245614035087,22.0,1
ОРГ1-00120,109,191,0,28129.660550458717,26416.0,3066133,0.9908256880733946,108.0,0.009174311926605505,1.0,16053.052356020942,26.0,49.0,0.0,29973.5,26577.5,779311.0,1.0,26.0,0.0,0.0,58.0,99.0,0.0,29128.793103448275,26581.5,1689470.0,1.0,58.0,0.0,0.0,79.0,149.0,0.0,29081.113924050635,26438.0,2297408.0,1.0,79.0,0.0,0.0,1
ОРГ1-00125,89,182,9,18745.157303370786,18608.0,1668319,1.0,89.0,0.0,0.0,9166.587912087913,29.0,40.0,9.0,18897.51724137931,18608.0,548028.0,1.0,29.0,0.0,0.0,54.0,80.0,9.0,19490.425925925927,19205.0,1052483.0,1.0,54.0,0.0,0.0,65.0,126.0,9.0,18818.89230769231,18605.0,1223228.0,1.0,65.0,0.0,0.0,1
ОРГ1-00138,106,180,0,22759.556603773584,24610.5,2412513,1.0,106.0,0.0,0.0,13402.85,36.0,49.0,0.0,25028.583333333332,26414.5,901029.0,1.0,36.0,0.0,0.0,59.0,99.0,0.0,23772.084745762713,25513.0,1402553.0,1.0,59.0,0.0,0.0,86.0,149.0,0.0,23345.06976744186,25208.0,2007676.0,1.0,86.0,0.0,0.0,1
ОРГ1-00142,115,191,0,18436.05217391304,18001.0,2120146,0.9826086956521739,113.0,0.017391304347826087,2.0,11100.240837696336,38.0,49.0,0.0,20465.236842105263,21152.0,777679.0,0.9473684210526315,36.0,0.05263157894736842,2.0,59.0,86.0,0.0,18881.237288135595,18600.0,1113993.0,0.9661016949152542,57.0,0.03389830508474576,2.0,94.0,149.0,0.0,18430.510638297874,17706.0,1732468.0,0.9787234042553191,92.0,0.02127659574468085,2.0,1
ОРГ1-00145,161,191,0,18086.726708074533,20108.0,2911963,0.8012422360248447,129.0,0.19875776397515527,32.0,15245.879581151832,45.0,49.0,0.0,21799.577777777777,22208.0,980981.0,0.8,36.0,0.2,9.0,89.0,99.0,0.0,20339.03370786517,21907.0,1810174.0,0.7640449438202247,68.0,0.23595505617977527,21.0,126.0,149.0,0.0,19225.75396825397,21013.5,2422445.0,0.8015873015873016,101.0,0.1984126984126984,25.0,1
ОРГ1-00148,121,187,0,26264.206611570247,27911.0,3177969,0.9669421487603306,117.0,0.03305785123966942,4.0,16994.486631016043,36.0,49.0,0.0,29334.666666666668,29259.5,1056048.0,1.0,36.0,0.0,0.0,62.0,99.0,0.0,27251.032258064515,28959.5,1689564.0,0.9516129032258065,59.0,0.04838709677419355,3.0,96.0,149.0,0.0,27554.020833333332,28662.0,2645186.0,0.96875,93.0,0.03125,3.0,1
ОРГ1-00150,58,123,68,16240.706896551725,16820.5,941961,1.0,58.0,0.0,0.0,7658.219512195122,,,,,,,,,,,15.0,31.0,68.0,14645.933333333332,14705.0,219689.0,1.0,15.0,0.0,0.0,35.0,59.0,68.0,16194.742857142857,16831.0,566816.0,1.0,35.0,0.0,0.0,1
ОРГ1-00151,139,192,0,22871.007194244605,25501.0,3179070,0.9496402877697842,132.0,0.050359712230215826,7.0,16557.65625,38.0,49.0,0.0,24679.92105263158,26255.5,937837.0,0.9473684210526315,36.0,0.05263157894736842,2.0,73.0,99.0,0.0,24855.821917808218,26711.0,1814475.0,0.9452054794520548,69.0,0.0547945205479452,4.0,109.0,149.0,0.0,24471.596330275228,26103.0,2667404.0,0.963302752293578,105.0,0.03669724770642202,4.0,1
ОРГ1-00157,128,192,0,21191.4453125,21302.0,2712505,0.9140625,117.0,0.0859375,11.0,14127.630208333334,36.0,49.0,0.0,19858.833333333332,19959.0,714918.0,0.9444444444444444,34.0,0.05555555555555555,2.0,73.0,99.0,0.0,21030.753424657534,21305.0,1535245.0,0.9178082191780822,67.0,0.0821917808219178,6.0,95.0,133.0,0.0,21433.0,21613.0,2036135.0,0.9263157894736842,88.0,0.07368421052631578,7.0,1
ОРГ1-00161,122,190,1,18882.93442622951,18615.0,2303718,1.0,122.0,0.0,0.0,12124.831578947369,27.0,48.0,1.0,15688.851851851852,16215.0,423599.0,1.0,27.0,0.0,0.0,60.0,98.0,1.0,17527.483333333334,17408.0,1051649.0,1.0,60.0,0.0,0.0,94.0,148.0,1.0,18360.074468085106,18311.0,1725847.0,1.0,94.0,0.0,0.0,1
ОРГ1-00167,115,192,0,26660.591304347825,27016.0,3065968,0.991304347826087,114.0,0.008695652173913044,1.0,15968.583333333334,36.0,49.0,0.0,27407.277777777777,27012.0,986662.0,1.0,36.0,0.0,0.0,66.0,99.0,0.0,27007.060606060608,27010.0,1782466.0,1.0,66.0,0.0,0.0,94.0,149.0,0.0,27055.63829787234,27160.5,2543230.0,1.0,94.0,0.0,0.0,1
ОРГ1-00181,131,191,0,34486.73282442748,33908.0,4517762,0.9541984732824428,125.0,0.04580152671755725,6.0,23653.204188481675,37.0,49.0,0.0,39306.27027027027,40517.0,1454332.0,0.972972972972973,36.0,0.02702702702702703,1.0,61.0,99.0,0.0,36938.934426229505,35413.0,2253275.0,0.9836065573770492,60.0,0.01639344262295082,1.0,97.0,149.0,0.0,36439.0824742268,35104.0,3534591.0,0.9896907216494846,96.0,0.010309278350515464,1.0,1
ОРГ1-00210,132,191,0,24663.78787878788,24906.5,3255620,0.9242424242424242,122.0,0.07575757575757576,10.0,17045.130890052355,42.0,49.0,0.0,19827.095238095237,20107.5,832738.0,0.8571428571428571,36.0,0.14285714285714285,6.0,78.0,99.0,0.0,23241.102564102563,24607.0,1812806.0,0.8846153846153846,69.0,0.11538461538461539,9.0,106.0,148.0,0.0,23757.69811320755,24605.5,2518316.0,0.9056603773584906,96.0,0.09433962264150944,10.0,1
ОРГ1-00211,125,191,0,25834.792,25206.0,3229349,0.96,120.0,0.04,5.0,16907.586387434556,39.0,49.0,0.0,26101.0,24003.0,1017939.0,0.8974358974358975,35.0,0.10256410256410256,4.0,73.0,99.0,0.0,26269.04109589041,24604.0,1917640.0,0.9315068493150684,68.0,0.0684931506849315,5.0,99.0,149.0,0.0,25974.9797979798,25203.0,2571523.0,0.9494949494949495,94.0,0.050505050505050504,5.0,1
ОРГ1-00218,127,191,0,20947.007874015748,19503.0,2660270,0.8976377952755905,114.0,0.10236220472440945,13.0,13928.115183246073,42.0,49.0,0.0,15355.214285714286,14256.0,644919.0,0.8095238095238095,34.0,0.19047619047619047,8.0,71.0,92.0,0.0,19494.450704225354,18905.0,1384106.0,0.8169014084507042,58.0,0.18309859154929578,13.0,106.0,149.0,0.0,20127.54716981132,18906.5,2133520.0,0.8773584905660378,93.0,0.12264150943396226,13.0,1
ОРГ1-00222,135,191,0,27456.2,30015.0,3706587,0.8444444444444444,114.0,0.15555555555555556,21.0,19406.214659685866,40.0,44.0,0.0,27748.8,31209.0,1109952.0,0.825,33.0,0.175,7.0,73.0,99.0,0.0,27032.972602739726,30915.0,1973407.0,0.7808219178082192,57.0,0.2191780821917808,16.0,112.0,148.0,0.0,27523.366071428572,30321.5,3082617.0,0.8214285714285714,92.0,0.17857142857142858,20.0,1
ОРГ1-00226,105,183,0,27381.85714285714,28205.0,2875095,1.0,105.0,0.0,0.0,15710.901639344262,36.0,49.0,0.0,28142.416666666668,28207.5,1013127.0,1.0,36.0,0.0,0.0,62.0,91.0,0.0,27264.467741935485,27610.0,1690397.0,1.0,62.0,0.0,0.0,82.0,149.0,0.0,27153.658536585364,27611.0,2226600.0,1.0,82.0,0.0,0.0,1
ОРГ1-00228,57,71,121,23688.01754385965,24612.0,1350217,0.8070175438596491,46.0,0.19298245614035087,11.0,19017.140845070422,,,,,,,,,,,,,,,,,,,,,24.0,28.0,121.0,22589.291666666668,23109.0,542143.0,0.8333333333333334,20.0,0.16666666666666666,4.0,1
ОРГ1-00234,48,81,110,19192.104166666668,19958.5,921221,1.0,48.0,0.0,0.0,11373.098765432098,,,,,,,,,,,,,,,,,,,,,30.0,39.0,110.0,20292.2,21013.0,608766.0,1.0,30.0,0.0,0.0,1
ОРГ1-00244,101,183,0,10429.980198019803,9601.0,1053428,1.0,101.0,0.0,0.0,5756.437158469946,27.0,48.0,0.0,17061.88888888889,18916.0,460671.0,1.0,27.0,0.0,0.0,51.0,99.0,0.0,12370.019607843138,13805.0,630871.0,1.0,51.0,0.0,0.0,79.0,149.0,0.0,10268.632911392406,9002.0,811222.0,1.0,79.0,0.0,0.0,1
ОРГ1-00252,50,70,120,20628.44,20712.0,1031422,0.98,49.0,0.02,1.0,14734.6,,,,,,,,,,,,,,,,,,,,,21.0,29.0,120.0,19195.904761904763,19204.0,403114.0,1.0,21.0,0.0,0.0,1
ОРГ1-00254,124,185,6,8712.806451612903,8700.0,1080388,0.9919354838709677,123.0,0.008064516129032258,1.0,5839.935135135135,29.0,43.0,6.0,7252.172413793103,7200.0,210313.0,1.0,29.0,0.0,0.0,60.0,93.0,6.0,7220.516666666666,7050.0,433231.0,0.9833333333333333,59.0,0.016666666666666666,1.0,96.0,143.0,6.0,8031.8125,7950.0,771054.0,0.9895833333333334,95.0,0.010416666666666666,1.0,1
ОРГ1-00261,115,176,0,16460.078260869566,17100.0,1892909,0.991304347826087,114.0,0.008695652173913044,1.0,10755.164772727272,34.0,49.0,0.0,14060.970588235294,14852.5,478073.0,1.0,34.0,0.0,0.0,66.0,99.0,0.0,15613.257575757576,16058.0,1030475.0,1.0,66.0,0.0,0.0,97.0,149.0,0.0,16269.443298969072,16804.0,1578136.0,0.9896907216494846,96.0,0.010309278350515464,1.0,1
ОРГ1-00264,126,191,0,27089.507936507936,27911.0,3413278,0.9841269841269841,124.0,0.015873015873015872,2.0,17870.56544502618,38.0,49.0,0.0,27503.07894736842,28223.0,1045117.0,0.9473684210526315,36.0,0.05263157894736842,2.0,71.0,99.0,0.0,26188.647887323943,27616.0,1859394.0,0.971830985915493,69.0,0.028169014084507043,2.0,106.0,148.0,0.0,26777.95283018868,27908.5,2838463.0,0.9811320754716981,104.0,0.018867924528301886,2.0,1
ОРГ1-00266,50,72,0,30936.44,31212.5,1546822,1.0,50.0,0.0,0.0,21483.63888888889,36.0,49.0,0.0,31053.86111111111,31210.0,1117939.0,1.0,36.0,0.0,0.0,50.0,72.0,0.0,30936.44,31212.5,1546822.0,1.0,50.0,0.0,0.0,50.0,72.0,0.0,30936.44,31212.5,1546822.0,1.0,50.0,0.0,0.0,1
ОРГ1-00271,144,191,0,20032.645833333332,20707.5,2884701,0.9305555555555556,134.0,0.06944444444444445,10.0,15103.146596858638,38.0,49.0,0.0,22732.394736842107,22666.0,863831.0,0.9473684210526315,36.0,0.05263157894736842,2.0,78.0,99.0,0.0,19349.05128205128,20114.0,1509226.0,0.8846153846153846,69.0,0.11538461538461539,9.0,115.0,149.0,0.0,17834.452173913043,18612.0,2050962.0,0.9130434782608695,105.0,0.08695652173913043,10.0,1
ОРГ1-00272,113,183,0,24174.37168141593,24024.0,2731704,0.9557522123893806,108.0,0.04424778761061947,5.0,14927.344262295082,40.0,49.0,0.0,28171.275,26866.0,1126851.0,0.9,36.0,0.1,4.0,62.0,99.0,0.0,25804.90322580645,25518.5,1599904.0,0.9354838709677419,58.0,0.06451612903225806,4.0,90.0,149.0,0.0,24529.333333333332,24609.5,2207640.0,0.9444444444444444,85.0,0.05555555555555555,5.0,1
ОРГ1-00273,177,192,0,22300.42372881356,26104.0,3947175,0.7344632768361582,130.0,0.2655367231638418,47.0,20558.203125,49.0,49.0,0.0,20919.65306122449,25512.0,1025063.0,0.7346938775510204,36.0,0.2653061224489796,13.0,98.0,99.0,0.0,22955.428571428572,26856.0,2249632.0,0.7040816326530612,69.0,0.29591836734693877,29.0,144.0,149.0,0.0,23393.020833333332,27757.5,3368595.0,0.7291666666666666,105.0,0.2708333333333333,39.0,1
ОРГ1-00274,121,191,0,11990.768595041322,13210.0,1450883,0.9504132231404959,115.0,0.049586776859504134,6.0,7596.246073298429,40.0,49.0,0.0,13266.35,13955.5,530654.0,0.9,36.0,0.1,4.0,64.0,99.0,0.0,12615.328125,13804.0,807381.0,0.921875,59.0,0.078125,5.0,91.0,149.0,0.0,12338.934065934065,13804.0,1122843.0,0.945054945054945,86.0,0.054945054945054944,5.0,1
ОРГ1-00275,68,177,0,3424.6029411764707,2701.5,232873,0.9705882352941176,66.0,0.029411764705882353,2.0,1315.6666666666667,33.0,48.0,0.0,4464.878787878788,3601.0,147341.0,0.9696969696969697,32.0,0.030303030303030304,1.0,51.0,97.0,0.0,3901.1372549019607,3000.0,198958.0,0.9607843137254902,49.0,0.0392156862745098,2.0,57.0,135.0,0.0,3585.2982456140353,2701.0,204362.0,0.9649122807017544,55.0,0.03508771929824561,2.0,1
ОРГ1-00276,133,191,0,39531.93233082707,42006.0,5257747,1.0,133.0,0.0,0.0,27527.47120418848,36.0,49.0,0.0,43392.97222222222,43837.5,1562147.0,1.0,36.0,0.0,0.0,69.0,99.0,0.0,42287.17391304348,42348.0,2917815.0,1.0,69.0,0.0,0.0,104.0,149.0,0.0,38266.519230769234,41417.5,3979718.0,1.0,104.0,0.0,0.0,1
ОРГ1-00279,127,191,0,29435.992125984252,30620.0,3738371,0.968503937007874,123.0,0.031496062992125984,4.0,19572.623036649216,37.0,49.0,0.0,29147.675675675677,31500.0,1078464.0,0.972972972972973,36.0,0.02702702702702703,1.0,61.0,99.0,0.0,29166.114754098362,30904.0,1779133.0,0.9672131147540983,59.0,0.03278688524590164,2.0,97.0,149.0,0.0,28937.721649484534,30010.0,2806959.0,0.979381443298969,95.0,0.020618556701030927,2.0,1
ОРГ1-00289,111,191,0,27824.882882882885,29402.0,3088562,0.972972972972973,108.0,0.02702702702702703,3.0,16170.48167539267,38.0,49.0,0.0,30252.42105263158,29912.0,1149592.0,0.9473684210526315,36.0,0.05263157894736842,2.0,57.0,85.0,0.0,28536.842105263157,30033.0,1626600.0,0.9649122807017544,55.0,0.03508771929824561,2.0,90.0,149.0,0.0,27882.566666666666,29413.0,2509431.0,0.9777777777777777,88.0,0.022222222222222223,2.0,1
ОРГ1-00293,117,191,0,24921.196581196582,27311.0,2915780,0.9829059829059829,115.0,0.017094017094017096,2.0,15265.86387434555,35.0,49.0,0.0,27936.657142857144,27623.0,977783.0,1.0,35.0,0.0,0.0,64.0,99.0,0.0,26143.90625,27611.0,1673210.0,0.96875,62.0,0.03125,2.0,98.0,149.0,0.0,24426.20408163265,27163.5,2393768.0,0.9795918367346939,96.0,0.02040816326530612,2.0,1
ОРГ1-00296,125,191,0,31256.16,31224.0,3907020,0.992,124.0,0.008,1.0,20455.60209424084,36.0,49.0,0.0,31747.694444444445,31822.0,1142917.0,1.0,36.0,0.0,0.0,69.0,99.0,0.0,30728.521739130436,30620.0,2120268.0,1.0,69.0,0.0,0.0,105.0,149.0,0.0,31097.666666666668,31210.0,3265255.0,1.0,105.0,0.0,0.0,1
ОРГ1-00307,147,191,0,26273.904761904763,29705.0,3862264,0.9115646258503401,134.0,0.08843537414965986,13.0,20221.277486910996,38.0,49.0,0.0,29719.736842105263,31057.0,1129350.0,0.9473684210526315,36.0,0.05263157894736842,2.0,76.0,99.0,0.0,29515.302631578947,31515.5,2243163.0,0.9078947368421053,69.0,0.09210526315789473,7.0,116.0,149.0,0.0,26776.353448275862,30916.0,3106057.0,0.9051724137931034,105.0,0.09482758620689655,11.0,1
ОРГ1-00320,122,191,0,24882.77868852459,26411.0,3035699,1.0,122.0,0.0,0.0,15893.712041884817,36.0,49.0,0.0,28018.166666666668,27766.0,1008654.0,1.0,36.0,0.0,0.0,68.0,99.0,0.0,26598.70588235294,27009.0,1808712.0,1.0,68.0,0.0,0.0,94.0,149.0,0.0,26214.36170212766,27003.0,2464150.0,1.0,94.0,0.0,0.0,1
ОРГ1-00322,25,47,145,23193.76,26408.0,579844,0.92,23.0,0.08,2.0,12337.106382978724,,,,,,,,,,,,,,,,,,,,,2.0,1.0,145.0,2850.0,2850.0,5700.0,1.0,2.0,0.0,0.0,1
ОРГ1-00323,164,192,0,6346.128048780488,4500.5,1040765,0.7987804878048781,131.0,0.20121951219512196,33.0,5420.651041666667,42.0,49.0,0.0,5895.047619047619,4351.0,247592.0,0.8333333333333334,35.0,0.16666666666666666,7.0,83.0,99.0,0.0,6154.253012048192,4500.0,510803.0,0.8072289156626506,67.0,0.1927710843373494,16.0,126.0,149.0,0.0,6004.507936507936,4500.0,756568.0,0.8015873015873016,101.0,0.1984126984126984,25.0,1
