id,Вид образования,Специальность,edu_level,count_appearence,count_chiefed,is_chief,exists_in_education
ОРГ1-00109,Среднее профессиональное образование,Двигатели внутреннего сгорания,5.0,1,0.0,0,1
ОРГ1-00120,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00125,Высшее образование,Автоматизация и комплексная механизация химико-технологических процессов,8.0,1,0.0,0,1
ОРГ1-00131,Высшее образование - бакалавриат,Юриспруденция,8.0,1,0.0,0,1
ОРГ1-00138,Среднее профессиональное образование,Электрооборудование промышленных предприятий  и установок,5.0,1,0.0,0,1
ОРГ1-00142,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов,8.0,2,0.0,0,1
ОРГ1-00145,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00147,Повышение квалификации,,10.0,4,0.0,0,1
ОРГ1-00148,Высшее образование,,8.0,1,4.0,1,1
ОРГ1-00151,Повышение квалификации,,10.0,3,8.0,1,1
ОРГ1-00152,Высшее образование,,8.0,1,0.0,0,1
ОРГ1-00153,Начальное профессиональное образование,,4.0,1,0.0,0,1
ОРГ1-00157,Повышение квалификации,"Интегрированная система менеджмента согласно стребованиям стандартов ИСО 90001:2015, ИСО 14001:2015",10.0,2,0.0,0,1
ОРГ1-00161,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов,8.0,1,7.0,1,1
ОРГ1-00162,Повышение квалификации,,10.0,5,0.0,0,1
ОРГ1-00166,Высшее образование,Менеджмент в социальной сфере,8.0,1,0.0,0,1
ОРГ1-00167,Повышение квалификации,Проектирование и расчеты на прочность теплообменных аппаратов,10.0,2,0.0,0,1
ОРГ1-00180,Высшее образование,,8.0,1,0.0,0,1
ОРГ1-00181,Переподготовка,,12.0,2,0.0,0,1
ОРГ1-00187,Высшее образование,,8.0,1,0.0,0,1
ОРГ1-00210,Высшее образование,Химическая технология органических веществ,8.0,1,0.0,0,1
ОРГ1-00211,Высшее образование,Химическая технология органических веществ,8.0,1,0.0,0,1
ОРГ1-00218,Высшее образование,Химическая технология органических веществ,8.0,1,0.0,0,1
ОРГ1-00221,Высшее образование,,8.0,1,0.0,0,1
ОРГ1-00222,Высшее образование,Водоснабжение и водоотведение,8.0,1,0.0,0,1
ОРГ1-00223,Повышение квалификации,Обеспечение экологической безопасности при работах в области обращения с опасными отходами,10.0,2,0.0,0,1
ОРГ1-00226,Высшее образование,Технология машиностроения,8.0,2,0.0,0,1
ОРГ1-00244,Высшее образование,Документоведение и  документационное обеспечение управления,8.0,1,0.0,0,1
ОРГ1-00252,Высшее образование,Химическая технология органических веществ,8.0,1,0.0,0,1
ОРГ1-00254,Высшее образование,Автоматизированные системы обработки информации и управления,8.0,1,0.0,0,1
ОРГ1-00257,Переподготовка,Промышленное и гражданское строительство,12.0,3,0.0,0,1
ОРГ1-00261,Высшее образование,Основные процессы химических производств и химическая кибернетика,8.0,1,0.0,0,1
ОРГ1-00264,Повышение квалификации,,10.0,3,0.0,0,1
ОРГ1-00271,Повышение квалификации,"Подготовка пользователей ПЭВМ со знанием ""1С: Предприятие 7.7""",10.0,2,0.0,0,1
ОРГ1-00272,Повышение квалификации,,10.0,5,0.0,0,1
ОРГ1-00274,Высшее образование,Промышленное и гражданское строительство,8.0,2,0.0,0,1
ОРГ1-00276,Высшее образование,,8.0,2,0.0,0,1
ОРГ1-00279,Повышение квалификации,,10.0,2,6.0,1,1
ОРГ1-00289,Переподготовка,,12.0,4,0.0,0,1
ОРГ1-00293,Высшее образование,Промышленное и гражданское строительство,8.0,1,0.0,0,1
ОРГ1-00296,Высшее образование,Авиационные приборы и измерительно вычислительные комплексы,8.0,1,0.0,0,1
ОРГ1-00320,Высшее образование,Электроэнергетические системы и сети,8.0,1,0.0,0,1
ОРГ1-00321,Высшее образование,Финансы и кредит,8.0,2,4.0,1,1
ОРГ1-00323,Высшее образование,Оперативно-тактическая химических войск,8.0,2,0.0,0,1
ОРГ1-00324,Высшее образование,"Проектирование и эксплуатация газонефтепроводов, газохранилищ и нефтебаз",8.0,1,0.0,0,1
ОРГ1-00326,Высшее образование,,8.0,1,0.0,0,1
ОРГ1-00329,Переподготовка,Химическая технология природных энергоносителей и углеродных материалов,12.0,5,0.0,0,1
ОРГ1-00335,Повышение квалификации,Безопасность строительства и осуществление строительного контроля,10.0,3,1.0,1,1
ОРГ1-00338,Высшее образование,Финансы и кредит,8.0,2,0.0,0,1
ОРГ1-00340,Высшее образование,Химическая технология органических веществ,8.0,1,0.0,0,1
ОРГ1-00342,Высшее образование,Основные процессы химических производств и химическая кибернетика,8.0,2,2.0,1,1
ОРГ1-00343,Высшее образование,Юриспруденция,8.0,4,1.0,1,1
ОРГ1-00346,Повышение квалификации,"Интегрированная система менеджмента согласно стребованиям стандартов ИСО 90001:2015, ИСО 14001:2015",10.0,5,2.0,1,1
ОРГ1-00348,Повышение квалификации,,10.0,4,0.0,0,1
ОРГ1-00349,Повышение квалификации,,10.0,3,0.0,0,1
ОРГ1-00351,Высшее образование,"Проектирование, сооружение и эксплуатация г/н проводов и г/н хранилищ",8.0,2,0.0,0,1
ОРГ1-00355,Среднее профессиональное образование,Менеджмент,5.0,1,23.0,1,1
ОРГ1-00357,Повышение квалификации,"Безопасность строительства. Организация строительства, реконструкции и капитального ремонта",10.0,5,0.0,0,1
ОРГ1-00358,Повышение квалификации,"Наружные инженерные системы отопления, вентиляции, теплогазоснабжения, водоснабжения и водоотведения",10.0,3,0.0,0,1
ОРГ1-00365,Высшее образование,Правоохранительная деятельность,8.0,1,0.0,0,1
ОРГ1-00383,Высшее образование,Инженерное дело в медико-биологической практике,8.0,1,0.0,0,1
ОРГ1-00388,Среднее (полное) общее образование,,3.0,1,0.0,0,1
ОРГ1-00401,Высшее образование,Финансы и кредит,8.0,1,0.0,0,1
ОРГ1-00402,Высшее образование,"Бухгалтерский учет, анализ и аудит",8.0,1,0.0,0,1
ОРГ1-00404,Повышение квалификации,Сметное дело,10.0,4,0.0,0,1
ОРГ1-00408,Высшее образование,Химическая технология,8.0,2,0.0,0,1
ОРГ1-00411,Высшее образование,Автоматизация технологических процессов и производств,8.0,2,0.0,0,1
ОРГ1-00412,Повышение квалификации,Обследование строительных конструкций зданий и сооружений,10.0,2,0.0,0,1
ОРГ1-00418,Переподготовка,,12.0,3,0.0,0,1
ОРГ1-00419,Высшее образование,Учитель английского и немецкого языков по специальности филология,8.0,1,0.0,0,1
ОРГ1-00420,Повышение квалификации,Проектирование зданий и сооружений,10.0,2,3.0,1,1
ОРГ1-00421,Высшее образование,Безопасность технологических процессов и производств,8.0,1,2.0,1,1
ОРГ1-00422,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00423,Повышение квалификации,,10.0,4,0.0,0,1
ОРГ1-00427,Повышение квалификации,Конструктивные решения,10.0,4,0.0,0,1
ОРГ1-00429,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00430,Высшее образование,Автоматизация технологических процессов и производств,8.0,1,4.0,1,1
ОРГ1-00435,Высшее образование,Основные процессы химических производств и химическая кибернетика,8.0,4,0.0,0,1
ОРГ1-00437,Высшее образование,Автоматизация технологических процессов и производств,8.0,2,0.0,0,1
ОРГ1-00442,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов,8.0,2,0.0,0,1
ОРГ1-00446,Высшее образование,Технологические машины и оборудование,8.0,1,0.0,0,1
ОРГ1-00448,Высшее образование,Пожарная безопасность,8.0,1,0.0,0,1
ОРГ1-00457,Переподготовка,,12.0,3,34.0,1,1
ОРГ1-00460,Высшее образование,Технологические машины и оборудование,8.0,2,0.0,0,1
ОРГ1-00461,Аспирантура,,13.0,2,0.0,0,1
ОРГ1-00462,Высшее образование,Юриспруденция,8.0,2,12.0,1,1
ОРГ1-00463,Высшее образование,"Проектирование и эксплуатация газонефтепроводов, газохранилищ и нефтебаз",8.0,1,0.0,0,1
ОРГ1-00464,Высшее образование,Юриспруденция,8.0,1,0.0,0,1
ОРГ1-00465,Повышение квалификации,"Интегрированная система менеджмента согласно стребованиям стандартов ИСО 90001:2015, ИСО 14001:2015",10.0,3,2.0,1,1
ОРГ1-00466,Высшее образование,Математические методы в экономике,8.0,1,0.0,0,1
ОРГ1-00467,Повышение квалификации,Сметное дело в строительстве,10.0,2,0.0,0,1
ОРГ1-00469,Высшее образование,Менеджмент организации,8.0,1,0.0,0,1
ОРГ1-00471,Высшее образование,"сооружение газонефтепроводов, газохранилищ и нефтебаз",8.0,2,0.0,0,1
ОРГ1-00472,Высшее образование,"Бухгалтерский учет, анализ и аудит",8.0,2,0.0,0,1
ОРГ1-00480,Высшее образование - бакалавриат,Строительство,8.0,3,0.0,0,1
ОРГ1-00481,Высшее образование,Юриспруденция,8.0,1,0.0,0,1
ОРГ1-00483,Аспирантура,,13.0,10,29.0,1,1
ОРГ1-00485,Повышение квалификации,Школа Главного инженера проектов. Базовый курс,10.0,2,0.0,0,1
ОРГ1-00486,Высшее образование,Авиационная и ракетно-космическая теплотехника,8.0,1,0.0,0,1
ОРГ1-00488,Высшее образование,Нефтегазовое дело,8.0,1,0.0,0,1
ОРГ1-00498,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00499,Высшее образование,Машины и аппараты химических производств и предприятий строительных материалов,8.0,1,0.0,0,1
ОРГ1-00502,Высшее образование,Финансы и кредит,8.0,1,0.0,0,1
ОРГ1-00503,Повышение квалификации,Изоляция. Расчет и проектирование тепловой изоляции для различных типов трубопроводов и оборудования,10.0,2,0.0,0,1
ОРГ1-00506,Высшее образование,Антикризисное управление,8.0,2,0.0,0,1
ОРГ1-00507,Повышение квалификации,Организация подготовки проектной документации,10.0,3,2.0,1,1
ОРГ1-00515,Повышение квалификации,Специалист по управлению персоналом,10.0,2,0.0,0,1
ОРГ1-00517,Высшее образование,Электропривод и автоматика промышленных установок и технологических комплексов,8.0,2,3.0,1,1
ОРГ1-00520,Высшее образование,"Бухгалтерский учет, анализ и аудит",8.0,1,0.0,0,1
ОРГ1-00522,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00530,Высшее образование,Финансы и кредит,8.0,2,0.0,0,1
ОРГ1-00531,Высшее образование,"Проектирование, сооружение и эксплуатация г/н проводов и г/н хранилищ",8.0,1,6.0,1,1
ОРГ1-00538,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00540,Высшее образование,Экономика и управление на предприятиях горной промышленности,8.0,1,0.0,0,1
ОРГ1-00549,Переподготовка,Экологическая безопасность,12.0,4,0.0,0,1
ОРГ1-00551,Высшее образование,Промышленное и гражданское строительство,8.0,5,0.0,0,1
ОРГ1-00553,Повышение квалификации,,10.0,4,0.0,0,1
ОРГ1-00558,Высшее образование,Промышленное и гражданское строительство,8.0,2,0.0,0,1
ОРГ1-00560,Высшее образование,,8.0,4,0.0,0,1
ОРГ1-00561,Высшее образование,экономика и управление на предприятии,8.0,2,0.0,0,1
ОРГ1-00564,Повышение квалификации,"Внутренние инженерные системы отопления, вентиляции, теплогазоснабжения, водоснабжения и водоотведен",10.0,2,0.0,0,1
ОРГ1-00566,Высшее образование,Антикризисное управление,8.0,3,7.0,1,1
ОРГ1-00568,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00571,Высшее образование,Теория и методика преподавания иностранных языков и культур,8.0,1,1.0,1,1
ОРГ1-00573,Повышение квалификации,Автоматизация технологических процессов и производств,10.0,2,0.0,0,1
ОРГ1-00576,Высшее образование,Программное обеспечение вычислительной техники и автоматизированных систем,8.0,2,0.0,0,1
ОРГ1-00581,Высшее образование,Математические методы в экономике,8.0,1,1.0,1,1
ОРГ1-00587,Повышение квалификации,Проектирование зданий и сооружений. Охрана окружающей среды.,10.0,4,5.0,1,1
ОРГ1-00596,Высшее образование,Политология,8.0,2,3.0,1,1
ОРГ1-00598,Высшее образование,,8.0,1,2.0,1,1
ОРГ1-00599,Повышение квалификации,,10.0,7,26.0,1,1
ОРГ1-00606,Неполное высшее образование,Экономика,7.0,2,0.0,0,1
ОРГ1-00612,Высшее образование,"Командная, тактическая, радиотехнические средства",8.0,1,0.0,0,1
ОРГ1-00615,Повышение квалификации,,10.0,4,0.0,0,1
ОРГ1-00616,Повышение квалификации,Сметное дело,10.0,2,0.0,0,1
ОРГ1-00622,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00625,Высшее образование,,8.0,1,0.0,0,1
ОРГ1-00626,Высшее образование,"Технология машиностроения, металлорежущие станки и инструменты",8.0,2,12.0,1,1
ОРГ1-00627,Начальное профессиональное образование,Слесарь-ремонтник,4.0,1,0.0,0,1
ОРГ1-00632,Переподготовка,Основы управления,12.0,3,0.0,0,1
ОРГ1-00634,Высшее образование,Философия,8.0,1,21.0,1,1
ОРГ1-00638,Высшее образование,Профессиональное обучение (дизайн),8.0,1,0.0,0,1
ОРГ1-00639,Переподготовка,Специалист по процессному управлению,12.0,3,0.0,0,1
ОРГ1-00643,Высшее образование,Экономика и управление на предприятии (в машиностроении),8.0,1,5.0,1,1
ОРГ1-00644,Высшее образование,Машины и аппараты химических производств и предприятий строительных материалов,8.0,1,2.0,1,1
ОРГ1-00645,Высшее образование,Юриспруденция,8.0,1,0.0,0,1
ОРГ1-00652,Переподготовка,,12.0,2,0.0,0,1
ОРГ1-00655,Повышение квалификации,Руководство кадровой службой. Кадровое делопроизводство и трудовое законодательство.,10.0,2,6.0,1,1
ОРГ1-00657,Высшее образование,"Проектирование и эксплуатация газонефтепроводов, газохранилищ и нефтебаз",8.0,1,1.0,1,1
ОРГ1-00659,Высшее образование,Защита окружающей среды,8.0,1,0.0,0,1
ОРГ1-00662,Высшее образование,Системы автоматизированного проектирования,8.0,1,0.0,0,1
ОРГ1-00666,Повышение квалификации,,10.0,5,0.0,0,1
ОРГ1-00667,Высшее образование - бакалавриат,Прикладная информатика,8.0,2,7.0,1,1
ОРГ1-00670,Высшее образование,Оборудование нефтегазопереработки,8.0,2,4.0,1,1
ОРГ1-00672,Высшее образование,Финансы и кредит,8.0,2,5.0,1,1
ОРГ1-00676,Высшее образование,Юриспруденция,8.0,1,0.0,0,1
ОРГ1-00677,Высшее образование,Финансы и кредит,8.0,1,5.0,1,1
ОРГ1-00678,Высшее образование,Биотехнические и медицинские аппараты и системы,8.0,1,0.0,0,1
ОРГ1-00679,Высшее образование,Основные процессы химических производств и химическая кибернетика,8.0,1,0.0,0,1
ОРГ1-00688,Высшее образование,Промышленное и гражданское строительство,8.0,1,0.0,0,1
ОРГ1-00690,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00692,Высшее образование,Технология основного  органического и нефтехимического систеза,8.0,1,0.0,0,1
ОРГ1-00693,Переподготовка,Проектирование и эксплуатация газонефтепроводов и газонефтехранилищ,12.0,3,0.0,0,1
ОРГ1-00696,Высшее образование,военное и административное управление,8.0,3,0.0,0,1
ОРГ1-00698,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00701,Высшее образование,Основные процессы химических производств и химическая кибернетика,8.0,1,0.0,0,1
ОРГ1-00706,Высшее образование,Защита в чрезвычайных ситуациях,8.0,1,0.0,0,1
ОРГ1-00707,Повышение квалификации,Сметное дело,10.0,3,0.0,0,1
ОРГ1-00713,Аспирантура,Информатика и вычислительная техника,13.0,4,0.0,0,1
ОРГ1-00719,Высшее образование,Моделирование и исследование операций в организационно-технических системах,8.0,1,0.0,0,1
ОРГ1-00722,"Высшее образование - специалитет, магистратура",Математическое и информационное обеспечение экономической деятельности,9.0,2,0.0,0,1
ОРГ1-00724,Высшее образование,Машины и аппараты химических производств и предприятий строительных материалов,8.0,2,3.0,1,1
ОРГ1-00727,Высшее образование,Автоматизация технологических процессов и производств,8.0,1,3.0,1,1
ОРГ1-00732,Переподготовка,,12.0,5,1.0,1,1
ОРГ1-00734,Высшее образование,Финансы и кредит,8.0,1,0.0,0,1
ОРГ1-00739,Высшее образование,Городское строительство и хозяйство,8.0,1,0.0,0,1
ОРГ1-00740,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов,8.0,1,0.0,0,1
ОРГ1-00741,Высшее образование,Машины и аппараты химических производств и предприятий строительных материалов,8.0,1,0.0,0,1
ОРГ1-00742,Высшее образование,Экономика и управление на предприятии (по отраслям),8.0,1,0.0,0,1
ОРГ1-00747,Повышение квалификации,,10.0,3,7.0,1,1
ОРГ1-00753,Высшее образование,Водоснабжение и водоотведение,8.0,1,0.0,0,1
ОРГ1-00756,Высшее образование,Филология,8.0,1,0.0,0,1
ОРГ1-00759,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00761,Высшее образование,Землеустройство,8.0,1,0.0,0,1
ОРГ1-00762,Высшее образование,Многоканальные телекоммуникационные системы,8.0,1,0.0,0,1
ОРГ1-00763,Высшее образование,Автомобили и автомобильное хозяйство,8.0,1,0.0,0,1
ОРГ1-00765,Высшее образование,Программное обеспечение вычислительной техники и автоматизированных систем,8.0,1,0.0,0,1
ОРГ1-00766,Высшее образование,Менеджмент,8.0,2,8.0,1,1
ОРГ1-00767,Высшее образование,Авиационные приборы и измерительно вычислительные комплексы,8.0,1,0.0,0,1
ОРГ1-00768,Высшее образование,Электромеханика,8.0,1,0.0,0,1
ОРГ1-00770,Высшее образование,"Бухгалтерский учет, анализ и аудит",8.0,1,0.0,0,1
ОРГ1-00771,Высшее образование,Электрооборудование летательных аппаратов,8.0,1,0.0,0,1
ОРГ1-00772,Повышение квалификации,Патентные исследования,10.0,2,23.0,1,1
ОРГ1-00773,Среднее (полное) общее образование,,3.0,1,0.0,0,1
ОРГ1-00775,Высшее образование,Юриспруденция,8.0,2,0.0,0,1
ОРГ1-00779,Повышение квалификации,,10.0,3,0.0,0,1
ОРГ1-00781,Высшее образование,Электрификация и автоматизация сельского хозяйства,8.0,1,0.0,0,1
ОРГ1-00783,Повышение квалификации,Электромонтер по ремонту и обслуживанию электрооборудования,10.0,4,10.0,1,1
ОРГ1-00784,Повышение квалификации,Создание контрольно-измерительных систем и систем автоматики с помощью приложения AVEVA,10.0,2,1.0,1,1
ОРГ1-00786,Высшее образование,Химическая технология и биотехнология,8.0,3,0.0,0,1
ОРГ1-00791,Высшее образование,Безопасность технологических процессов и производств,8.0,1,0.0,0,1
ОРГ1-00792,Повышение квалификации,,10.0,3,0.0,0,1
ОРГ1-00794,Высшее образование,Автомобили и автомобильное хозяйство. Организация и управление автомобильными перевозками,8.0,1,0.0,0,1
ОРГ1-00795,Повышение квалификации,,10.0,5,0.0,0,1
ОРГ1-00800,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00803,Высшее образование,Журналистика,8.0,1,0.0,0,1
ОРГ1-00805,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00808,Высшее образование,Технологические машины и оборудование,8.0,2,0.0,0,1
ОРГ1-00814,Высшее образование,"Бухгалтерский учет, анализ и аудит",8.0,1,0.0,0,1
ОРГ1-00816,Высшее образование,Государственное и муниципальное управление,8.0,1,0.0,0,1
ОРГ1-00826,Высшее образование,Машины и аппараты химических производств,8.0,1,0.0,0,1
ОРГ1-00829,Повышение квалификации,,10.0,4,0.0,0,1
ОРГ1-00839,Повышение квалификации,,10.0,6,0.0,0,1
ОРГ1-00842,Высшее образование,Машины и аппараты химических производств,8.0,1,0.0,0,1
ОРГ1-00846,Высшее образование,Маркетинг,8.0,2,0.0,0,1
ОРГ1-00850,Высшее образование,Авиационное приборостроение,8.0,2,10.0,1,1
ОРГ1-00852,Высшее образование,Промышленное и гражданское строительство,8.0,1,0.0,0,1
ОРГ1-00853,Высшее образование,Электропривод и автоматика промышленных установок и технологических комплексов,8.0,2,2.0,1,1
ОРГ1-00860,Среднее профессиональное образование,Токарь,5.0,1,0.0,0,1
ОРГ1-00862,Высшее образование,Бытовые машины и приборы,8.0,2,0.0,0,1
ОРГ1-00866,Высшее образование,Экономика и управление на предприятии (по отраслям),8.0,2,8.0,1,1
ОРГ1-00870,Повышение квалификации,,10.0,3,4.0,1,1
ОРГ1-00874,Переподготовка,,12.0,2,0.0,0,1
ОРГ1-00875,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00880,Высшее образование,Менеджмент организации,8.0,1,0.0,0,1
ОРГ1-00882,Высшее образование,Экономика,8.0,2,0.0,0,1
ОРГ1-00884,Высшее образование,Энергообеспечение предприятий,8.0,2,0.0,0,1
ОРГ1-00892,Высшее образование,Химическая технология органических веществ,8.0,1,0.0,0,1
ОРГ1-00896,Высшее образование,Автоматизация и комплексная механизация машиностроения,8.0,3,0.0,0,1
ОРГ1-00900,Повышение квалификации,Сметное дело,10.0,6,0.0,0,1
ОРГ1-00901,Повышение квалификации,,10.0,2,5.0,1,1
ОРГ1-00909,Высшее образование,Химическая технология,8.0,2,2.0,1,1
ОРГ1-00910,Повышение квалификации,Сметное дело,10.0,3,0.0,0,1
ОРГ1-00912,Высшее образование,"сооружение газонефтепроводов, газохранилищ и нефтебаз",8.0,1,0.0,0,1
ОРГ1-00915,Повышение квалификации,Нормоконтроль конструкторской документации,10.0,3,5.0,1,1
ОРГ1-00916,Высшее образование,Машины и аппараты химических производств,8.0,1,0.0,0,1
ОРГ1-00920,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00922,Повышение квалификации,проектирование трубопроводов различного назначения на базе программных продуктов серии СТАРТ,10.0,5,0.0,0,1
ОРГ1-00923,Высшее образование,"Техника и технология по направлению ""Строительство""",8.0,2,5.0,1,1
ОРГ1-00925,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов,8.0,1,0.0,0,1
ОРГ1-00926,Высшее образование,Промышленное и гражданское строительство,8.0,1,0.0,0,1
ОРГ1-00932,Высшее образование,Экономика и управление на предприятии (по отраслям),8.0,1,0.0,0,1
ОРГ1-00933,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов,8.0,2,0.0,0,1
ОРГ1-00937,Высшее образование,Автоматизированные системы управления,8.0,1,0.0,0,1
ОРГ1-00938,Высшее образование,Автоматизация технологических процессов и производств (по отраслям),8.0,1,0.0,0,1
ОРГ1-00939,Высшее образование,Электрофикация и автоматизация сельского хозяйства,8.0,2,0.0,0,1
ОРГ1-00947,Высшее образование,Промышленное и гражданское строительство,8.0,1,0.0,0,1
ОРГ1-00948,Высшее образование,Электроснабжение промышленных предприятий городов и сельского хозяйства,8.0,1,0.0,0,1
ОРГ1-00950,Повышение квалификации,Проектирование и расчеты на прочность теплообменных аппаратов,10.0,2,0.0,0,1
ОРГ1-00951,Высшее образование,Экономика труда,8.0,2,0.0,0,1
ОРГ1-00952,Высшее образование,Основные процессы химических производств и химическая кибернетика,8.0,1,0.0,0,1
ОРГ1-00953,Высшее образование,Механизация сельского хозяйства,8.0,2,0.0,0,1
ОРГ1-00961,Высшее образование,Химическая технология органических веществ и топлива/Химическая технология природных энергоносителей,8.0,1,0.0,0,1
ОРГ1-00962,Высшее образование,"Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ",8.0,1,0.0,0,1
ОРГ1-00963,Высшее образование,Автоматизация и комплексная механизация химико-технологических процессов,8.0,1,0.0,0,1
ОРГ1-00966,Повышение квалификации,,10.0,5,0.0,0,1
ОРГ1-00967,Повышение квалификации,,10.0,4,0.0,0,1
ОРГ1-00971,Высшее образование,Авиационное приборостроение,8.0,1,0.0,0,1
ОРГ1-00972,Высшее образование,Бурение нефтяных и газовых скважин,8.0,1,0.0,0,1
ОРГ1-00977,Повышение квалификации,Сметное дело,10.0,4,0.0,0,1
ОРГ1-00980,Высшее образование - бакалавриат,Химическая технология и биотехнология,8.0,1,0.0,0,1
ОРГ1-00981,Высшее образование,Химическая технология органических веществ,8.0,1,0.0,0,1
ОРГ1-00983,Высшее образование,Земельный кадастр,8.0,1,0.0,0,1
ОРГ1-00986,Высшее образование,Гидравлические машины и средства автоматики,8.0,1,0.0,0,1
ОРГ1-00991,Повышение квалификации,,10.0,6,0.0,0,1
ОРГ1-00995,Высшее образование,Химическая технология,8.0,1,0.0,0,1
ОРГ1-00999,"Высшее образование - специалитет, магистратура",Управление в технических системах,9.0,2,0.0,0,1
ОРГ1-01003,Высшее образование,Основные процессы химических производств и химическая кибернетика,8.0,1,6.0,1,1
ОРГ1-01004,Среднее профессиональное образование,Обработка материалов на станках и автоматических линиях,5.0,2,0.0,0,1
ОРГ1-01005,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов,8.0,2,5.0,1,1
ОРГ1-01010,"Высшее образование - специалитет, магистратура","Энерго-и ресурсосберегающие процессы в хим.технологии, нефтехимии и биотехнологии",9.0,2,0.0,0,1
ОРГ1-01011,Высшее образование,Антикризисное управление,8.0,2,0.0,0,1
ОРГ1-01012,Высшее образование,"сооружение газонефтепроводов, газохранилищ и нефтебаз",8.0,1,0.0,0,1
ОРГ1-01013,Начальное профессиональное образование,Наладчик агрегатных и спец. станков,4.0,1,0.0,0,1
ОРГ1-01015,Повышение квалификации,,10.0,4,0.0,0,1
ОРГ1-01017,Высшее образование,Городское строительство и хозяйство,8.0,1,0.0,0,1
ОРГ1-01022,Высшее образование - бакалавриат,,8.0,2,0.0,0,1
ОРГ1-01025,Высшее образование,Водоснабжение и водоотведение,8.0,1,0.0,0,1
ОРГ1-01031,Высшее образование,Химическая технология,8.0,2,0.0,0,1
ОРГ1-01037,Высшее образование,Оборудование и технология сварочного производства,8.0,1,0.0,0,1
ОРГ1-01039,Высшее образование,экономика и управление на предприятии,8.0,2,0.0,0,1
ОРГ1-01042,Высшее образование,Пожарная безопасность,8.0,1,0.0,0,1
ОРГ1-01043,Среднее профессиональное образование,Строительство и эксплуатация зданий и сооружений,5.0,1,0.0,0,1
