id,type
ОРГ1-01446,2
ОРГ1-00460,0
ОРГ1-00438,1
ОРГ1-00947,0
ОРГ2-05220,0
ОРГ1-02495,0
ОРГ1-01970,2
ОРГ1-00747,2
ОРГ1-02895,2
ОРГ1-02634,2
ОРГ1-00573,2
ОРГ1-02615,2
ОРГ1-00388,2
ОРГ1-01780,0
ОРГ1-01397,0
ОРГ1-00977,0
ОРГ1-00981,2
ОРГ1-01510,1
ОРГ1-00289,0
ОРГ1-02810,2
ОРГ2-06138,1
ОРГ2-02978,2
ОРГ1-00655,2
ОРГ1-01709,2
ОРГ2-05818,0
ОРГ1-01950,2
ОРГ1-02703,1
ОРГ1-00464,1
ОРГ2-00592,2
ОРГ2-05141,0
ОРГ1-01284,2
ОРГ2-06001,0
ОРГ1-02790,3
ОРГ1-02750,3
ОРГ1-00466,2
ОРГ1-02007,2
ОРГ2-07862,0
ОРГ1-01577,2
ОРГ1-01218,0
ОРГ1-00739,2
ОРГ1-01713,2
ОРГ1-02704,0
ОРГ1-02797,2
ОРГ1-02499,2
ОРГ1-02211,0
ОРГ1-01682,0
ОРГ1-00404,0
ОРГ1-00343,2
ОРГ2-03911,2
ОРГ2-05290,1
ОРГ1-00870,2
ОРГ1-00632,2
ОРГ2-01255,2
ОРГ1-02678,2
ОРГ1-02924,2
ОРГ2-01419,0
ОРГ1-00561,2
ОРГ1-00081,2
ОРГ1-02600,2
ОРГ1-02162,2
ОРГ1-00498,0
ОРГ1-02159,0
ОРГ1-02865,2
ОРГ1-02813,2
ОРГ2-04030,1
ОРГ1-02547,2
ОРГ1-02891,2
ОРГ1-02166,1
ОРГ2-03267,2
ОРГ1-01974,2
ОРГ1-02767,2
ОРГ1-01582,3
ОРГ1-00932,2
ОРГ1-01168,2
ОРГ2-00624,2
ОРГ1-01830,2
ОРГ1-01871,2
ОРГ1-00761,1
ОРГ1-01189,2
ОРГ1-01212,2
ОРГ1-01090,0
ОРГ2-02705,0
ОРГ2-03121,2
ОРГ2-04750,1
ОРГ1-03082,0
ОРГ1-01776,2
ОРГ1-01166,2
ОРГ2-06823,1
ОРГ1-02816,2
ОРГ1-00665,2
ОРГ1-02781,2
ОРГ2-04135,2
ОРГ1-02076,2
ОРГ1-02057,2
ОРГ1-01057,2
ОРГ2-04406,2
ОРГ1-01231,2
ОРГ1-02037,0
ОРГ1-02192,2
ОРГ2-05295,2
ОРГ2-01325,2
ОРГ2-03081,2
ОРГ2-05173,1
ОРГ2-05235,0
ОРГ1-02054,0
ОРГ1-02830,2
ОРГ1-01495,2
ОРГ1-02739,2
ОРГ1-00340,0
ОРГ2-06429,0
ОРГ1-01817,2
ОРГ1-02127,2
ОРГ1-02947,1
ОРГ1-02845,2
ОРГ1-02988,0
ОРГ2-06711,2
ОРГ2-05934,2
ОРГ2-01748,1
ОРГ1-01295,2
ОРГ1-01886,2
ОРГ2-07336,1
ОРГ1-02588,0
ОРГ1-02657,0
ОРГ1-02252,0
ОРГ2-04237,0
ОРГ1-03108,2
ОРГ1-02233,2
ОРГ1-01328,2
ОРГ1-00448,0
ОРГ1-02690,2
ОРГ1-00480,2
ОРГ2-00536,0
ОРГ1-00357,0
ОРГ1-01768,2
ОРГ1-01633,2
ОРГ2-00872,2
ОРГ2-00599,1
ОРГ1-02689,0
ОРГ1-00465,2
ОРГ1-01169,2
ОРГ1-00272,0
ОРГ2-03029,1
ОРГ1-02684,2
ОРГ1-01373,3
ОРГ1-00896,2
ОРГ1-02976,1
ОРГ1-01427,2
ОРГ2-04273,1
ОРГ2-05855,0
ОРГ1-00672,2
ОРГ2-04507,0
ОРГ1-00383,0
ОРГ2-04501,1
ОРГ1-00100,2
ОРГ1-01795,2
ОРГ1-00486,1
ОРГ1-02515,3
ОРГ1-02848,2
ОРГ1-01766,2
ОРГ1-02568,2
ОРГ1-02729,1
ОРГ1-01943,2
ОРГ2-05316,0
ОРГ2-07791,0
ОРГ1-02795,2
ОРГ2-01168,1
ОРГ1-00349,0
ОРГ2-05261,1
ОРГ1-01749,2
ОРГ1-01740,0
ОРГ1-02697,0
ОРГ1-01042,0
ОРГ2-00492,0
ОРГ1-00852,1
ОРГ2-05236,2
ОРГ2-07333,1
ОРГ1-02682,2
ОРГ2-02779,1
ОРГ1-00800,2
ОРГ1-00805,2
ОРГ1-02072,0
ОРГ1-01634,0
ОРГ1-01025,2
ОРГ1-02103,0
ОРГ1-01475,2
ОРГ1-01635,0
ОРГ2-03098,1
ОРГ1-02031,2
ОРГ1-01877,0
ОРГ2-04572,2
ОРГ1-01429,1
ОРГ1-02775,0
ОРГ1-01405,0
ОРГ1-00148,2
ОРГ2-01823,1
ОРГ2-00104,1
ОРГ1-02630,2
ОРГ1-02691,0
ОРГ1-00938,0
ОРГ1-02731,0
ОРГ1-01650,2
ОРГ1-01599,0
ОРГ1-00540,2
ОРГ1-01125,3
ОРГ2-02961,2
ОРГ1-01452,2
ОРГ2-05140,0
ОРГ2-02802,0
ОРГ1-01497,0
ОРГ2-02285,1
ОРГ2-05264,2
ОРГ1-01180,2
ОРГ1-00210,3
ОРГ1-02672,2
ОРГ1-01968,2
ОРГ1-00433,2
ОРГ1-00085,0
ОРГ2-05452,2
ОРГ1-00779,0
ОРГ1-00791,0
ОРГ1-01457,2
ОРГ1-02183,2
ОРГ1-01230,2
ОРГ1-00897,0
ОРГ1-02808,2
ОРГ2-03782,2
ОРГ1-03124,3
ОРГ1-01685,2
ОРГ1-01759,2
ОРГ2-02297,1
ОРГ1-01091,0
ОРГ1-02190,2
ОРГ2-03071,2
ОРГ2-05683,2
ОРГ1-02740,2
ОРГ1-01467,2
ОРГ2-01130,0
ОРГ2-05200,0
ОРГ1-02498,2
ОРГ1-01629,0
ОРГ1-03043,1
ОРГ1-02855,2
ОРГ1-01039,2
ОРГ1-01573,0
ОРГ1-00666,0
ОРГ2-07748,1
ОРГ1-03063,3
ОРГ1-02059,2
ОРГ1-02108,2
ОРГ1-01952,2
ОРГ2-06614,0
ОРГ1-00599,2
ОРГ2-00152,2
ОРГ2-06736,0
ОРГ2-07022,1
ОРГ1-01193,1
ОРГ2-04621,2
ОРГ2-07924,2
ОРГ1-02569,2
ОРГ1-01489,0
ОРГ1-01004,2
ОРГ1-00351,0
ОРГ2-01853,0
ОРГ1-02023,2
ОРГ1-00157,2
ОРГ2-00515,0
ОРГ1-01283,2
ОРГ1-01037,2
ОРГ1-00652,0
ОРГ1-01748,2
ОРГ1-01760,2
ОРГ1-01730,0
ОРГ2-02450,2
ОРГ1-01986,3
ОРГ1-00574,2
ОРГ1-02814,2
ОРГ1-00937,2
ОРГ1-03044,3
ОРГ1-02758,0
ОРГ2-02366,0
ОРГ2-06006,2
ОРГ1-01451,0
ОРГ1-02205,2
ОРГ1-02550,2
ОРГ1-02002,0
ОРГ1-02852,3
ОРГ1-02089,2
ОРГ1-00987,2
ОРГ1-02245,2
ОРГ2-06820,1
ОРГ1-01483,2
ОРГ1-00503,0
ОРГ1-00690,0
ОРГ1-02759,0
ОРГ1-02161,2
ОРГ1-02622,0
ОРГ1-00783,0
ОРГ2-01885,1
ОРГ1-02194,2
ОРГ2-02987,0
ОРГ1-02903,2
ОРГ1-02146,0
ОРГ1-02800,2
ОРГ1-02866,2
ОРГ2-05511,2
ОРГ1-00926,3
ОРГ1-02625,2
ОРГ1-02602,0
ОРГ2-01798,1
ОРГ1-01654,2
ОРГ2-00560,2
ОРГ1-02246,2
ОРГ1-02892,2
ОРГ1-02626,2
ОРГ2-02524,1
ОРГ1-01163,2
ОРГ1-00222,0
ОРГ2-03126,2
ОРГ2-05862,2
ОРГ1-02897,3
ОРГ1-02720,1
ОРГ1-00782,2
ОРГ2-05032,3
ОРГ1-02182,1
ОРГ2-06329,0
ОРГ1-02642,2
ОРГ1-00499,0
ОРГ1-01755,2
ОРГ1-02811,1
ОРГ2-00454,1
ОРГ1-02132,2
ОРГ1-01184,2
ОРГ1-03072,2
ОРГ2-07599,2
ОРГ1-02894,3
ОРГ1-00953,2
ОРГ1-02832,2
ОРГ2-05091,2
ОРГ1-01388,2
ОРГ1-00880,2
ОРГ1-02053,2
ОРГ2-04726,2
ОРГ1-01666,2
ОРГ2-01337,0
ОРГ1-00667,0
ОРГ1-01031,2
ОРГ1-00915,2
ОРГ1-00767,0
ОРГ1-00211,3
ОРГ1-02639,2
ОРГ2-01852,0
ОРГ1-00467,2
ОРГ2-04913,2
ОРГ1-02890,2
ОРГ1-01958,0
ОРГ1-00553,0
ОРГ2-03130,0
ОРГ1-01712,2
ОРГ1-02899,2
ОРГ2-06477,2
ОРГ1-00612,0
ОРГ1-02587,2
ОРГ1-02383,2
ОРГ1-02862,2
ОРГ1-00471,2
ОРГ2-02694,2
